method,question_id,query_type,llm_judge_score,token_f1,exact_match,contains_answer,composite_score,graphrag_bench_type
semantic_rag,Novel-1d62116d,local,0.0,0.0625,False,False,0.015625,Fact Retrieval
semantic_rag,Novel-a8bad1cf,local,0.5,0.4,False,True,0.475,Fact Retrieval
semantic_rag,Novel-95217448,hybrid,0.33,0.1666666666666666,False,False,0.1241666666666666,Complex Reasoning
semantic_rag,Novel-a0c1c9cd,hybrid,0.5,0.1818181818181818,False,False,0.1704545454545454,Complex Reasoning
semantic_rag,Novel-feba1552,hybrid,0.0,0.1176470588235294,False,False,0.0294117647058823,Contextual Summarize
semantic_rag,Novel-710f8505,hybrid,0.33,0.0869565217391304,False,False,0.1042391304347826,Contextual Summarize
semantic_rag,Novel-0d6bcca0,hybrid,0.4,0.0229885057471264,False,False,0.1057471264367816,Creative Generation
rerank_semantic,Novel-1d62116d,local,0.0,0.0816326530612244,False,False,0.0204081632653061,Fact Retrieval
rerank_semantic,Novel-a8bad1cf,local,0.5,0.4,False,True,0.475,Fact Retrieval
rerank_semantic,Novel-95217448,hybrid,0.0,0.0555555555555555,False,False,0.0138888888888888,Complex Reasoning
rerank_semantic,Novel-a0c1c9cd,hybrid,0.5,0.1428571428571428,False,False,0.1607142857142857,Complex Reasoning
rerank_semantic,Novel-feba1552,hybrid,0.0,0.1025641025641025,False,False,0.0256410256410256,Contextual Summarize
rerank_semantic,Novel-710f8505,hybrid,0.4,0.1333333333333333,False,False,0.1333333333333333,Contextual Summarize
rerank_semantic,Novel-0d6bcca0,hybrid,0.0,0.0222222222222222,False,False,0.0055555555555555,Creative Generation
hybrid_rag,Novel-1d62116d,local,0.5,0.1463414634146341,False,False,0.1615853658536585,Fact Retrieval
hybrid_rag,Novel-a8bad1cf,local,0.5,0.2608695652173913,False,False,0.1902173913043478,Fact Retrieval
hybrid_rag,Novel-95217448,hybrid,0.0,0.0377358490566037,False,False,0.0094339622641509,Complex Reasoning
hybrid_rag,Novel-a0c1c9cd,hybrid,0.5,0.0909090909090909,False,False,0.1477272727272727,Complex Reasoning
hybrid_rag,Novel-feba1552,hybrid,0.0,0.0833333333333333,False,False,0.0208333333333333,Contextual Summarize
hybrid_rag,Novel-710f8505,hybrid,0.2,0.054054054054054,False,False,0.0635135135135135,Contextual Summarize
hybrid_rag,Novel-0d6bcca0,hybrid,0.0,0.1016949152542372,False,False,0.0254237288135593,Creative Generation
frontier_rag,Novel-1d62116d,local,0.0,0.0816326530612244,False,False,0.0204081632653061,Fact Retrieval
frontier_rag,Novel-a8bad1cf,local,0.5,0.4,False,True,0.475,Fact Retrieval
frontier_rag,Novel-95217448,hybrid,0.0,0.0555555555555555,False,False,0.0138888888888888,Complex Reasoning
frontier_rag,Novel-a0c1c9cd,hybrid,0.5,0.1428571428571428,False,False,0.1607142857142857,Complex Reasoning
frontier_rag,Novel-feba1552,hybrid,0.0,0.1025641025641025,False,False,0.0256410256410256,Contextual Summarize
frontier_rag,Novel-710f8505,hybrid,0.4,0.1333333333333333,False,False,0.1333333333333333,Contextual Summarize
frontier_rag,Novel-0d6bcca0,hybrid,0.8,0.1367521367521367,False,False,0.2341880341880342,Creative Generation
